Query,Possible Intents
What crops are available in the database?,crop_info_query
Can I get complete crop details on [rice](crop)?,crop_info_query
What is the impact of climate on [capsicum](crop) disease outbreaks?,"ask_cause_of_disease, ask_climate_requirements, ask_disease_prevention, ask_fungicide_info, ask_weather_impact, disease_control_query"
What is the best way to treat fungal infections in [brinjal](crop)?,disease_control_query
Tell me about the nutrient requirements for brinjal plants.,"deficiency_related_query, nutrient_requirement_query"
How much nitrogen do I need for my potato plants?,nutrient_requirement_query
What common pests should I be aware of for [potato](crop)?,"ask_insecticide_info, ask_natural_pest_control, ask_pest_detection, pest_control_query"
What pests can attack [potato](crop)?,"ask_insecticide_info, ask_natural_pest_control, ask_pest_detection, pest_control_query"
What is the recommended NPK ratio for [capsicum](crop)?,ask_fertilizer_requirements
What are the fertilizer requirements for [rice](crop)?,"ask_fertilizer_application_method, ask_fertilizer_requirements, ask_fertilizer_schedule, ask_organic_fertilizer"
How many tons per hectare can I expect from [brinjal](crop)?,variety_yield_query
Can you suggest drought-resistant varieties of [potato](crop)?,variety_yield_query
Are there any visible symptoms of molybdenum deficiency in [brinjal](crop)?,deficiency_related_query
How do I fix copper deficiency in [capsicum](crop)?,deficiency_related_query
What is the best crop rotation strategy for [capsicum](crop)?,"ask_best_practices, ask_crop_rotation, ask_crop_rotation_benefits"
What are the recommended mulching practices for [potato](crop)?,ask_best_practices
At what stage should I apply [urea](fertilizer) to [potato](crop)?,"ask_fertilizer_application_method, ask_fertilizer_requirements, ask_fertilizer_schedule, ask_organic_fertilizer, ask_stage_of_application"
When should I apply [compost](fertilizer) for [brinjal](crop)?,"ask_fertilizer_application_method, ask_fertilizer_requirements, ask_fertilizer_schedule, ask_organic_fertilizer, ask_stage_of_application"
What causes [bacterial blight](disease) in [rice](crop)?,"ask_cause_of_disease, ask_disease_prevention, ask_fungicide_info, disease_control_query"
Can you explain the causes of [leaf spot](disease) in [potato](crop)?,"ask_cause_of_disease, ask_disease_prevention, ask_fungicide_info, disease_control_query"
What is the maturity period of [brinjal](crop)?,ask_maturity_period
Can you tell me the maturity period for [potato](crop)?,ask_maturity_period
Could you help me with my garden,fallback
What do I need to grow it,fallback
Give me the sowing period for soybean.,ask_sowing_time
What is the best time for sowing wheat?,ask_sowing_time
How much distance is needed between millet plants?,ask_crop_spacing
Can you tell me the spacing for cotton plants?,ask_crop_spacing
What is the best rotation plan for maize?,ask_crop_rotation
What is a sustainable crop rotation for groundnuts?,"ask_crop_rotation, ask_crop_rotation_benefits"
When should I harvest wheat?,ask_harvesting_time
What is the harvesting season for lentils?,ask_harvesting_time
Can you suggest an insecticide for vegetable farming?,ask_insecticide_info
What are the best insecticides for controlling insects?,ask_insecticide_info
What are some preventive measures for crop diseases?,"ask_cause_of_disease, ask_disease_prevention, ask_fungicide_info, disease_control_query"
How do I prevent diseases in my crops?,"ask_cause_of_disease, ask_disease_prevention, ask_fungicide_info, disease_control_query"
